habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
1;2;1;59,00;59,00;6;No definida;1 a 8 años;512.000;8.813.559,32;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;SANTA BARBARA CENTRAL;520000000,00
4;3;1;109,00;0,00;3;Bueno;16 a 30 años;160.000;3.348.623,85;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;El Cortijo;365000000,00
3;3;1;127,00;0,00;4;Excelente;9 a 15 años;299.000;3.779.527,56;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;Casa;Suba la Campiña;480000000,00
3;3;2;113,00;0,00;5;Excelente;9 a 15 años;787.000;5.743.362,83;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;Apartamento;Bella suiza;649000000,00
1;4;0;80,00;0,00;2;No definida;16 a 30 años;No definida;4.875.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa Atalayas;390000000,00
4;6;4;556,98;530,00;6;Excelente;16 a 30 años;3.300.000;12.567.776,22;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa Bárbara Alta;7000000000,00
3;3;1;88,00;81,00;4;Bueno;1 a 8 años;406.000;5.852.272,73;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;Apartamento;Barrancas;515000000,00
1;2;2;95,00;0,00;6;Excelente;1 a 8 años;820.000;9.000.000;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;Apartamento;El Refugio;855000000,00
4;4;3;243,00;200,00;3;Bueno;16 a 30 años;No definida;2.469.135,80;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;Casa;Marsella;600000000,00
3;2;3;130,00;0,00;4;Excelente;menor a 1 año;400.000;6.769.230,77;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Quinta Paredes;880000000,00
4;3;2;140,00;140,00;6;Excelente;1 a 8 años;1.500.000;6.785.714,29;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;San Patricio;950000000,00
